Rowland Office All-Stars
Players with 10 or more seasons and negative WAR.
2023-02-26 18:01:46.738
147 rows

Doug Flynn                -6.95 11 (1975-1985) CIN,NYM,TEX,MON,DET
Bill Bergen                -6.9 11 (1901-1911) CIN,BRO
Dan Meyer                  -6.5 12 (1974-1985) DET,SEA,OAK
Tuck Stainback             -5.9 13 (1934-1946) CHC,STL,PHI,BRO,DET,NYY,PHA
Juan Castro                -5.4 17 (1995-2011) LAD,CIN,MIN,BAL,PHI
Johnnie LeMaster           -5.4 12 (1975-1987) SFG,CLE,PIT,OAK
Ed Romero                  -5.2 12 (1977-1990) MIL,BOS,ATL,DET
Luis Lopez                 -4.9 11 (1993-2005) SDP,NYM,MIL,BAL,CIN
Tommy Thevenow             -4.9 15 (1924-1938) STL,PHI,PIT,CIN,BSN
Moe Berg                  -4.65 15 (1923-1939) BRO,CHW,CLE,WSH,BOS
Daryle Ward               -4.45 10 (1999-2008) HOU,LAD,PIT,ATL,WSN,CHC
Skeeter Webb              -4.25 12 (1932-1948) STL,CLE,CHW,DET,PHA
Myril Hoag                 -4.2 13 (1931-1945) NYY,SLB,CHW,CLE
Drew Butera               -4.15 12 (2010-2021) MIN,LAD,LAA,KCR,COL
Frank LaCorte             -4.15 10 (1975-1984) ATL,HOU,CAL
Kevin Jarvis               -4.1 12 (1994-2006) CIN,DET,MIN,COL,SDP,SEA,STL,ARI,BOS,OAK
Bill Plummer               -4.1 10 (1968-1978) CHC,CIN,SEA
Kurt Bevacqua             -3.95 15 (1971-1985) CLE,KCR,PIT,MIL,TEX,SDP
Gary Sutherland           -3.85 13 (1966-1978) PHI,MON,HOU,DET,MIL,SDP,STL
Don Heffner                -3.8 11 (1934-1944) NYY,SLB,PHA,DET
Tom Veryzer                -3.7 12 (1973-1984) DET,CLE,NYM,CHC
Bob Lillis                 -3.6 10 (1958-1967) LAD,STL,HOU
Chad Moeller               -3.6 11 (2000-2010) MIN,ARI,MIL,LAD,CIN,NYY,BAL
Joe DeMaestri             -3.55 11 (1951-1961) CHW,SLB,PHA,KCA,NYY
Greg Dobbs                -3.55 11 (2004-2014) SEA,PHI,FLA,MIA,WSN
Ray Berres                 -3.5 11 (1934-1945) BRO,PIT,BSN,NYG
John Moses                 -3.5 11 (1982-1992) SEA,MIN,DET
Rowland Office             -3.5 11 (1972-1983) ATL,MON,NYY
Matt Walbeck               -3.4 10 (1993-2003) CHC,MIN,DET,ANA
Darrel Chaney             -3.35 11 (1969-1979) CIN,ATL
John Russell               -3.2 10 (1984-1993) PHI,ATL,TEX
Ken Reitz                 -3.15 11 (1972-1982) STL,SFG,CHC,PIT
Gary Bennett               -3.1 12 (1996-2008) PHI,COL,SDP,MIL,WSN,STL,LAD
Terry Francona             -3.0 10 (1981-1990) MON,CHC,CIN,CLE,MIL
Eddie Miksis               -3.0 14 (1944-1958) BRO,CHC,STL,BAL,CIN
Tom Egan                  -2.95 10 (1965-1975) CAL,CHW
Todd Greene                -2.9 11 (1996-2006) CAL,ANA,TOR,NYY,TEX,COL,SFG
John Kennedy               -2.8 12 (1962-1974) WSA,LAD,NYY,SEP,MIL,BOS
Mike Mordecai              -2.8 12 (1994-2005) ATL,MON,FLA
Doc Powers                -2.75 11 (1898-1909) LOU,WHS,PHA,NYY
Jack Ryan                 -2.65 10 (1894-1913) BSN,BRO,BLN,STL,WSH
Koyie Hill                 -2.6 10 (2004-2014) ARI,CHC,MIA,PHI
Jerry Johnson              -2.6 10 (1968-1977) PHI,STL,SFG,HOU,SDP,CLE,TOR
